"Model","NHQM / NHM / NHOS","Daily Earnings","El. Cost","Power Usage","Efficiency","Net Profit"
"NVIDIA Tesla A100","","7.28 USD","- 0 USD","200 W","0.0364 USD/watt","7.28 USD/day"
"NVIDIA RTX 3090","","5.12 USD","- 0 USD","285 W","0.0180 USD/watt","5.12 USD/day"
"NVIDIA RTX A5000","","4.28 USD","- 0 USD","220 W","0.0194 USD/watt","4.28 USD/day"
"NVIDIA CMP 90HX","","4.15 USD","- 0 USD","320 W","0.0130 USD/watt","4.15 USD/day"
"NVIDIA RTX 3080","","4.11 USD","- 0 USD","220 W","0.0187 USD/watt","4.11 USD/day"
"AMD Radeon VII","","3.85 USD","- 0 USD","290 W","0.0133 USD/watt","3.85 USD/day"
"NVIDIA RTX 3080 Ti LHR","","3.60 USD","- 0 USD","220 W","0.0164 USD/watt","3.60 USD/day"
"NVIDIA A40","","3.56 USD","- 0 USD","190 W","0.0187 USD/watt","3.56 USD/day"
"NVIDIA TITAN V","","3.35 USD","- 0 USD","160 W","0.0209 USD/watt","3.35 USD/day"
"NVIDIA RTX 3080 LHR","","2.88 USD","- 0 USD","220 W","0.0131 USD/watt","2.88 USD/day"
"NVIDIA TITAN RTX","","2.84 USD","- 0 USD","250 W","0.0113 USD/watt","2.84 USD/day"
"AMD RX 6800 XT 16GB","","2.75 USD","- 0 USD","190 W","0.0145 USD/watt","2.75 USD/day"
"AMD RX 6900 XT 16GB","","2.75 USD","- 0 USD","220 W","0.0125 USD/watt","2.75 USD/day"
"AMD RX 6800 16GB","","2.71 USD","- 0 USD","175 W","0.0155 USD/watt","2.71 USD/day"
"NVIDIA RTX 2080 Ti","","2.63 USD","- 0 USD","145 W","0.0181 USD/watt","2.63 USD/day"
"NVIDIA RTX 3070","","2.63 USD","- 0 USD","120 W","0.0219 USD/watt","2.63 USD/day"
"NVIDIA RTX 3060 Ti","","2.58 USD","- 0 USD","115 W","0.0225 USD/watt","2.58 USD/day"
"NVIDIA RTX 3070 Ti LHR","","2.54 USD","- 0 USD","175 W","0.0145 USD/watt","2.54 USD/day"
"NVIDIA Quadro RTX 8000","","2.46 USD","- 0 USD","160 W","0.0154 USD/watt","2.46 USD/day"
"AMD PRO W6800 32GB","","2.41 USD","- 0 USD","300 W","0.0080 USD/watt","2.41 USD/day"
"AMD RX 5700 XT 8GB","","2.33 USD","- 0 USD","140 W","0.0166 USD/watt","2.33 USD/day"
"AMD RX 5700 8GB","","2.29 USD","- 0 USD","160 W","0.0143 USD/watt","2.29 USD/day"
"NVIDIA RTX 3060","","2.12 USD","- 0 USD","115 W","0.0184 USD/watt","2.12 USD/day"
"NVIDIA P102-100","","2.03 USD","- 0 USD","195 W","0.0104 USD/watt","2.03 USD/day"
"NVIDIA RTX 2080 Super","","2.03 USD","- 0 USD","140 W","0.0145 USD/watt","2.03 USD/day"
"NVIDIA RTX 3070 LHR","","2.03 USD","- 0 USD","120 W","0.0169 USD/watt","2.03 USD/day"
"AMD RX 6700 XT 12GB","","1.99 USD","- 0 USD","120 W","0.0166 USD/watt","1.99 USD/day"
"AMD RX Vega 64","","1.99 USD","- 0 USD","250 W","0.0080 USD/watt","1.99 USD/day"
"NVIDIA RTX 2080","","1.95 USD","- 0 USD","108 W","0.0180 USD/watt","1.95 USD/day"
"NVIDIA TITAN XP","","1.95 USD","- 0 USD","240 W","0.0081 USD/watt","1.95 USD/day"
"NVIDIA CMP 50HX","","1.91 USD","- 0 USD","210 W","0.0091 USD/watt","1.91 USD/day"
"NVIDIA RTX 3060 Ti LHR","","1.91 USD","- 0 USD","115 W","0.0166 USD/watt","1.91 USD/day"
"NVIDIA RTX 2070 Super","","1.86 USD","- 0 USD","110 W","0.0169 USD/watt","1.86 USD/day"
"NVIDIA GTX 1080 Ti","","1.82 USD","- 0 USD","170 W","0.0107 USD/watt","1.82 USD/day"
"NVIDIA RTX 2060 Super","","1.82 USD","- 0 USD","110 W","0.0166 USD/watt","1.82 USD/day"
"NVIDIA RTX 2070","","1.82 USD","- 0 USD","110 W","0.0166 USD/watt","1.82 USD/day"
"NVIDIA RTX A2000","","1.74 USD","- 0 USD","70 W","0.0248 USD/watt","1.74 USD/day"
"NVIDIA Quadro GP100","","1.69 USD","- 0 USD","150 W","0.0113 USD/watt","1.69 USD/day"
"AMD RX Vega 56","","1.65 USD","- 0 USD","220 W","0.0075 USD/watt","1.65 USD/day"
"AMD Vega Frontier Edition","","1.65 USD","- 0 USD","300 W","0.0055 USD/watt","1.65 USD/day"
"AMD RX 5600 XT 6GB","","1.57 USD","- 0 USD","100 W","0.0157 USD/watt","1.57 USD/day"
"NVIDIA P104-100","","1.57 USD","- 0 USD","120 W","0.0131 USD/watt","1.57 USD/day"
"NVIDIA Quadro RTX 4000 8GB","","1.57 USD","- 0 USD","83 W","0.0189 USD/watt","1.57 USD/day"
"NVIDIA Tesla P40","","1.57 USD","- 0 USD","160 W","0.0098 USD/watt","1.57 USD/day"
"NVIDIA CMP 40HX","","1.52 USD","- 0 USD","115 W","0.0133 USD/watt","1.52 USD/day"
"NVIDIA RTX 3060 LHR","","1.52 USD","- 0 USD","115 W","0.0133 USD/watt","1.52 USD/day"
"NVIDIA GTX 1080","","1.44 USD","- 0 USD","150 W","0.0096 USD/watt","1.44 USD/day"
"NVIDIA RTX 2060","","1.40 USD","- 0 USD","90 W","0.0155 USD/watt","1.40 USD/day"
"AMD RX 580 8GB","","1.36 USD","- 0 USD","140 W","0.0097 USD/watt","1.36 USD/day"
"AMD RX 6600 XT 8GB","","1.36 USD","- 0 USD","60 W","0.0226 USD/watt","1.36 USD/day"
"AMD RX 470 8GB","","1.31 USD","- 0 USD","120 W","0.0109 USD/watt","1.31 USD/day"
"AMD RX 480 8GB","","1.31 USD","- 0 USD","130 W","0.0101 USD/watt","1.31 USD/day"
"AMD RX 570 8GB","","1.31 USD","- 0 USD","130 W","0.0101 USD/watt","1.31 USD/day"
"AMD RX 590 8GB","","1.31 USD","- 0 USD","125 W","0.0105 USD/watt","1.31 USD/day"
"NVIDIA GTX 1070 Ti","","1.31 USD","- 0 USD","135 W","0.0097 USD/watt","1.31 USD/day"
"NVIDIA GTX 1660 Super","","1.31 USD","- 0 USD","70 W","0.0188 USD/watt","1.31 USD/day"
"AMD R9 390","","1.27 USD","- 0 USD","300 W","0.0042 USD/watt","1.27 USD/day"
"AMD RX 570 16GB","","1.27 USD","- 0 USD","140 W","0.0091 USD/watt","1.27 USD/day"
"NVIDIA GTX 1660 Ti","","1.27 USD","- 0 USD","60 W","0.0212 USD/watt","1.27 USD/day"
"NVIDIA Tesla T4","","1.27 USD","- 0 USD","65 W","0.0195 USD/watt","1.27 USD/day"
"NVIDIA TITAN X","","1.27 USD","- 0 USD","230 W","0.0055 USD/watt","1.27 USD/day"
"AMD RX 6600 8GB","","1.19 USD","- 0 USD","60 W","0.0198 USD/watt","1.19 USD/day"
"NVIDIA CMP 30HX","","1.19 USD","- 0 USD","85 W","0.0140 USD/watt","1.19 USD/day"
"NVIDIA GTX 1070","","1.14 USD","- 0 USD","125 W","0.0091 USD/watt","1.14 USD/day"
"AMD RX 5500 XT 8GB","","1.10 USD","- 0 USD","70 W","0.0157 USD/watt","1.10 USD/day"
"NVIDIA GTX 1660","","1.06 USD","- 0 USD","50 W","0.0212 USD/watt","1.06 USD/day"
"NVIDIA P106-100","","1.06 USD","- 0 USD","100 W","0.0106 USD/watt","1.06 USD/day"
"NVIDIA GTX 1060 6GB","","1.02 USD","- 0 USD","90 W","0.0113 USD/watt","1.02 USD/day"
