,Name,Price,GPU
0,NVIDIA GeForce RTX 3090 Founders Edition Graphics Card,2975.99,NVIDIA RTX 3090
1,PNY NVIDIA Quadro RTX A5000 24GB GDDR6 Graphics Card (One Pack),2968.0,NVIDIA RTX A5000
2,PNY NVIDIA RTX A5000 Graphic Card - 24 GB GDDR6-384 bit Bus Width - PCI Express 4.0 x16 - DisplayPort,2731.99,NVIDIA RTX A5000
3,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0, 10GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",1887.0,NVIDIA RTX 3080
4,NVIDIA TITAN V VOLTA 12GB HBM2 VIDEO CARD,6199.0,NVIDIA TITAN V
5,NVIDIA TITAN Xp Graphics Card (900-1G611-2530-000) (Renewed),1099.99,NVIDIA TITAN V
6,"PowerColor Red Dragon AMD Radeon™ RX 6800 XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA™ 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",1645.0,AMD RX 6800 XT 16GB
7,"PowerColor Red Devil AMD Radeon™ RX 6800 XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA™ 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",1700.0,AMD RX 6800 XT 16GB
8,"Allied Gaming Patriot Liquid Cooled Desktop PC: AMD Ryzen 7 5800X, AMD RX 6800XT 16GB, 120mm LC, 32GB DDR4 3600MHz RGB, 1TB PCI-E NVMe SSD, 2TB HDD, X570 Motherboard, 800 Watt 80+ PSU, WiFi Ready",2729.0,AMD RX 6800 XT 16GB
9,"PowerColor Liquid Devil AMD Radeon RX 6800XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",1659.99,AMD RX 6800 XT 16GB
10,"ASUS TUF Gaming AMD Radeon™ RX 6800 XT OC Edition Graphics Card (PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, All-Aluminum Shroud, Reinforced Frame, GPU Tweak II)",1750.0,AMD RX 6800 XT 16GB
11,"PowerColor Red Devil AMD Radeon™ RX 6900 XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA™ 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",1899.0,AMD RX 6900 XT 16GB
12,"PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1",1799.99,AMD RX 6900 XT 16GB
13,"ASUS TUF Gaming AMD Radeon™ RX 6900 XT OC Edition Graphics Card (PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, All-Aluminum Shroud, Reinforced Frame, GPU Tweak II)",1999.0,AMD RX 6900 XT 16GB
14,ASRock AMD Radeon RX6900XT Graphics Board GDDR6 16GB [Domestic Authorized Dealer] RX RX 6900 XT PG D 16G OC,1806.44,AMD RX 6900 XT 16GB
15,Sapphire Technology Nitro+ AMD Radeon RX 6900 XT Special Edition PCIe 4.0 Gaming Graphics Card with 16GB GDDR6 (11308-03-20G),1988.88,AMD RX 6900 XT 16GB
16,"XFX Speedster MERC319 AMD Radeon RX 6900 XT Black Gaming Graphics Card with 16GB GDDR6, HDMI 2,1, 2xDP, USB-C, AMD RDNA 2 RX-69XTACBD9",2045.0,AMD RX 6900 XT 16GB
17,"ASUS ROG Strix LC AMD Radeon™ RX 6900 XT TOP Edition Gaming Graphics Card (AMD RDNA™ 2, PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Full-coverage cold plate, 240mm radiator, 600mm tubing)",2496.84,AMD RX 6900 XT 16GB
