"Model","","Daily Earnings","El. Cost","Power Usage","Efficiency","Net Profit"
"BITMAIN AntMiner S19 Pro","","21.89 USD","- 0 USD","3250 W","0.0067 USD/watt","21.89 USD/day"
"BITMAIN AntMiner S19 Pro","","21.60 USD","- 0 USD","3250 W","0.0066 USD/watt","21.60 USD/day"
"BITMAIN AntMiner S19","","18.93 USD","- 0 USD","3250 W","0.0058 USD/watt","18.93 USD/day"
"BITMAIN AntMiner S19","","18.63 USD","- 0 USD","3250 W","0.0057 USD/watt","18.63 USD/day"
"MicroBT Whatsminer M30S","","17.11 USD","- 0 USD","3268 W","0.0052 USD/watt","17.11 USD/day"
"BITMAIN AntMiner S17+","","14.53 USD","- 0 USD","2920 W","0.0050 USD/watt","14.53 USD/day"
"MicroBT Whatsminer M31S","","13.93 USD","- 0 USD","3220 W","0.0043 USD/watt","13.93 USD/day"
"MicroBT Whatsminer M20S","","13.34 USD","- 0 USD","3360 W","0.0040 USD/watt","13.34 USD/day"
"BITMAIN AntMiner T17+","","12.75 USD","- 0 USD","3200 W","0.0040 USD/watt","12.75 USD/day"
"BITMAIN AntMiner S17e (64Th)","","12.54 USD","- 0 USD","2880 W","0.0044 USD/watt","12.54 USD/day"
"Innosilicon T3+ 57T","","11.35 USD","- 0 USD","3300 W","0.0034 USD/watt","11.35 USD/day"
"BITMAIN AntMiner S17","","11.14 USD","- 0 USD","2520 W","0.0044 USD/watt","11.14 USD/day"
"MicroBT Whatsminer M10S","","10.97 USD","- 0 USD","3500 W","0.0031 USD/watt","10.97 USD/day"
"MicroBT Whatsminer M21S","","10.97 USD","- 0 USD","3360 W","0.0033 USD/watt","10.97 USD/day"
"BITMAIN AntMiner S17 (53Th)","","10.54 USD","- 0 USD","2385 W","0.0044 USD/watt","10.54 USD/day"
"BITMAIN AntMiner S17 Pro","","10.54 USD","- 0 USD","2094 W","0.0050 USD/watt","10.54 USD/day"
"BITMAIN AntMiner T17e","","10.42 USD","- 0 USD","2915 W","0.0036 USD/watt","10.42 USD/day"
"Innosilicon T3+ 52T","","10.33 USD","- 0 USD","2800 W","0.0037 USD/watt","10.33 USD/day"
"BITFURY B8","","9.95 USD","- 0 USD","6400 W","0.0016 USD/watt","9.95 USD/day"
"BITMAIN AntMiner S17 Pro (50Th)","","9.95 USD","- 0 USD","1975 W","0.0050 USD/watt","9.95 USD/day"
"Canaan AvalonMiner 1066","","9.95 USD","- 0 USD","3250 W","0.0031 USD/watt","9.95 USD/day"
"Ebang Ebit E12+","","9.95 USD","- 0 USD","2500 W","0.0040 USD/watt","9.95 USD/day"
"Innosilicon T3 50T","","9.95 USD","- 0 USD","3100 W","0.0032 USD/watt","9.95 USD/day"
"Innosilicon A6","","8.98 USD","- 0 USD","1500 W","0.0060 USD/watt","8.98 USD/day"
"Ebang Ebit E12","","8.77 USD","- 0 USD","2500 W","0.0035 USD/watt","8.77 USD/day"
"Innosilicon T3-43T","","8.55 USD","- 0 USD","2100 W","0.0041 USD/watt","8.55 USD/day"
"BITMAIN AntMiner T17","","7.96 USD","- 0 USD","2200 W","0.0036 USD/watt","7.96 USD/day"
"Innosilicon T3-39T","","7.75 USD","- 0 USD","2150 W","0.0036 USD/watt","7.75 USD/day"
"Canaan AvalonMiner 1047","","7.37 USD","- 0 USD","2380 W","0.0031 USD/watt","7.37 USD/day"
"StrongU STU-U6","","7.16 USD","- 0 USD","2200 W","0.0033 USD/watt","7.16 USD/day"
"MicroBT Whatsminer M10","","6.56 USD","- 0 USD","2145 W","0.0031 USD/watt","6.56 USD/day"
"BITMAIN AntMiner Z11","","6.14 USD","- 0 USD","1418 W","0.0043 USD/watt","6.14 USD/day"
