,Name,Price,Miner
0,"Antminer Original APW12 Power Supply for S19, S19 Pro, S19J S19a T19 Bitmain",998.0, AntMiner S19 Pro
1,"Antminer Original APW12 Power Supply for S19, S19 Pro, S19J S19a T19 Bitmain",998.0, AntMiner S19 Pro
2,"Antminer Original APW12 Power Supply for S19, S19 Pro, S19J S19a T19 Bitmain",998.0, AntMiner S19
3,Antminer S19jpro 96th/s BTC Bitcoin Miner 2850w Asic Miner Bitmain Antminer S19 Much Cheaper Than Antminer S19jpro 104th Include Power Supply PSU,11555.0, AntMiner S19
4,"Antminer S19 95th/s Asic Miner, 3250w Bitcoin Miner Machine, New Bitmain Antminer S19 Include PSU in Stock",10755.0, AntMiner S19
5,New Antminer S19 90t Asic Miner 3240w Bitcoin Miner Bitmain Antminer S19 Much Cheaper Than Antminer S19pro 110th Include PSU Power Supply,9955.0, AntMiner S19
6,New Bitmain Antminer S19jpro 96TH Bitcoin Miner 2850W ASIC Miner Bitcoin Mining BTC Machine Much Cheaper Than S19PRO 110TH,11495.0, AntMiner S19
7,"Antminer Original APW12 Power Supply for S19, S19 Pro, S19J S19a T19 Bitmain",998.0, AntMiner S19
8,Antminer S19jpro 96th/s BTC Bitcoin Miner 2850w Asic Miner Bitmain Antminer S19 Much Cheaper Than Antminer S19jpro 104th Include Power Supply PSU,11555.0, AntMiner S19
9,"Antminer S19 95th/s Asic Miner, 3250w Bitcoin Miner Machine, New Bitmain Antminer S19 Include PSU in Stock",10755.0, AntMiner S19
10,New Antminer S19 90t Asic Miner 3240w Bitcoin Miner Bitmain Antminer S19 Much Cheaper Than Antminer S19pro 110th Include PSU Power Supply,9955.0, AntMiner S19
11,New Bitmain Antminer S19jpro 96TH Bitcoin Miner 2850W ASIC Miner Bitcoin Mining BTC Machine Much Cheaper Than S19PRO 110TH,11495.0, AntMiner S19
12,"Power Supply APW9 PSU 3600W 14.5V-21V for Bitmain Antminer T17, Antminer, S17 Antminer S17 pro Asic Miner",470.0, AntMiner S17
13,"ANTMINER APW9+ PSU for S17e, T17e, S17+, T17+ in USA",470.0, AntMiner T17e
14,"Power Supply APW9 PSU 3600W 14.5V-21V for Bitmain Antminer T17, Antminer, S17 Antminer S17 pro Asic Miner",470.0, AntMiner T17
15,Bitmain Antminer S15 28TH/s ASIC Bitcoin Miner BTC with PSU Power Supply Unit (Ant S15),2384.0, AntMiner S15
